,date,fertiliser_type,fertiliser_price,month_year,month,year,phosphate_price,urea_price,milk_price,gas_price,potassium_price
10899,2017-11-01,Muriate of Potash (50% K),365.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10900,2017-11-01,Compound 0-10-20,362.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10901,2017-11-01,Compound 0-7-30,363.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10902,2017-11-01,Compound 7-6-17,450.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10903,2017-11-01,Compound 10-10-20,380.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10904,2017-11-01,Compound 14-7-14,361.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10905,2017-11-01,Compound 18-6-12,341.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10906,2017-11-01,Compound 24-2.5-10,350.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10907,2017-11-01,Compound 27-2.5-5,340.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10909,2017-11-01,Compound 8-5-18,371.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10910,2017-11-01,Compound 20-4-10,332.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10911,2017-11-01,Sulphate of Ammonia (21%),267.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10913,2017-11-01,Compound 10-5-25,384.8356687898089,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10914,2017-11-01,Compound 13-6-20,384.8356687898089,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10915,2017-11-01,Compound 15-3-20,358.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10917,2017-11-01,Compound 24-2.2-4.5,303.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10918,2017-11-01,Compound 19-0-15,310.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10919,2017-11-01,Compound 25-4-0,322.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10920,2017-12-01,Calcium Ammonium Nitrate (27.5% N),239.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10921,2017-12-01,Urea (46% N),351.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10923,2017-12-01,Muriate of Potash (50% K),365.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10924,2017-12-01,Compound 0-10-20,362.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10925,2017-12-01,Compound 0-7-30,363.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10926,2017-12-01,Compound 7-6-17,450.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10927,2017-12-01,Compound 10-10-20,380.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10928,2017-12-01,Compound 14-7-14,361.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10929,2017-12-01,Compound 18-6-12,342.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10930,2017-12-01,Compound 24-2.5-10,352.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10931,2017-12-01,Compound 27-2.5-5,343.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10933,2017-12-01,Compound 8-5-18,371.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10934,2017-12-01,Compound 20-4-10,333.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10935,2017-12-01,Sulphate of Ammonia (21%),267.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10937,2017-12-01,Compound 10-5-25,384.8356687898089,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10938,2017-12-01,Compound 13-6-20,384.8356687898089,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10939,2017-12-01,Compound 15-3-20,358.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10941,2017-12-01,Compound 24-2.2-4.5,303.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10942,2017-12-01,Compound 19-0-15,311.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10943,2017-12-01,Compound 25-4-0,321.0,2017-12,12,2017,67.59,181.34,0.426,2.33,182.07
10944,2018-01-01,Calcium Ammonium Nitrate (27.5% N),256.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10945,2018-01-01,Urea (46% N),353.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10947,2018-01-01,Muriate of Potash (50% K),363.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10948,2018-01-01,Compound 0-10-20,360.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10949,2018-01-01,Compound 0-7-30,362.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10950,2018-01-01,Compound 7-6-17,449.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10951,2018-01-01,Compound 10-10-20,385.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10952,2018-01-01,Compound 14-7-14,367.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10953,2018-01-01,Compound 18-6-12,352.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10954,2018-01-01,Compound 24-2.5-10,366.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10955,2018-01-01,Compound 27-2.5-5,355.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10957,2018-01-01,Compound 8-5-18,373.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10958,2018-01-01,Compound 20-4-10,340.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10959,2018-01-01,Sulphate of Ammonia (21%),272.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10961,2018-01-01,Compound 10-5-25,384.8356687898089,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10962,2018-01-01,Compound 13-6-20,384.8356687898089,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10963,2018-01-01,Compound 15-3-20,355.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10965,2018-01-01,Compound 24-2.2-4.5,310.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10966,2018-01-01,Compound 19-0-15,324.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10967,2018-01-01,Compound 25-4-0,339.0,2018-01,1,2018,65.61,180.12,0.399,3.17,176.73
10968,2018-02-01,Calcium Ammonium Nitrate (27.5% N),260.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10969,2018-02-01,Urea (46% N),353.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10971,2018-02-01,Muriate of Potash (50% K),363.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10972,2018-02-01,Compound 0-10-20,361.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10973,2018-02-01,Compound 0-7-30,363.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10974,2018-02-01,Compound 7-6-17,450.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
