,statistic,date,fertiliser_type,unit,value,month_year,month,year
193,Fertiliser Price,1980-09-01,Urea (46% N),Euro per Tonne,166.0,1980-09,9,1980
194,Fertiliser Price,1980-09-01,Granular Superphosphate (16% P),Euro per Tonne,178.0,1980-09,9,1980
195,Fertiliser Price,1980-09-01,Muriate of Potash (50% K),Euro per Tonne,118.0,1980-09,9,1980
196,Fertiliser Price,1980-09-01,Compound 0-10-20,Euro per Tonne,146.0,1980-09,9,1980
197,Fertiliser Price,1980-09-01,Compound 0-7-30,Euro per Tonne,144.0,1980-09,9,1980
198,Fertiliser Price,1980-09-01,Compound 7-6-17,Euro per Tonne,172.0,1980-09,9,1980
199,Fertiliser Price,1980-09-01,Compound 10-10-20,Euro per Tonne,183.0,1980-09,9,1980
200,Fertiliser Price,1980-09-01,Compound 14-7-14,Euro per Tonne,174.0,1980-09,9,1980
201,Fertiliser Price,1980-09-01,Compound 18-6-12,Euro per Tonne,174.0,1980-09,9,1980
202,Fertiliser Price,1980-09-01,Compound 24-2.5-10,Euro per Tonne,170.0,1980-09,9,1980
203,Fertiliser Price,1980-09-01,Compound 27-2.5-5,Euro per Tonne,166.0,1980-09,9,1980
204,Fertiliser Price,1980-09-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-09,9,1980
205,Fertiliser Price,1980-09-01,Compound 8-5-18,Euro per Tonne,,1980-09,9,1980
206,Fertiliser Price,1980-09-01,Compound 20-4-10,Euro per Tonne,,1980-09,9,1980
207,Fertiliser Price,1980-09-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-09,9,1980
208,Fertiliser Price,1980-09-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-09,9,1980
209,Fertiliser Price,1980-09-01,Compound 10-5-25,Euro per Tonne,,1980-09,9,1980
210,Fertiliser Price,1980-09-01,Compound 13-6-20,Euro per Tonne,,1980-09,9,1980
211,Fertiliser Price,1980-09-01,Compound 15-3-20,Euro per Tonne,,1980-09,9,1980
