"STATISTIC","Statistic","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","201008","2010M08","1","Milk (per litre), actual fat and protein","Euro","0.311"
"AJM07","Manufacturing Milk Prices (including VAT)","201008","2010M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.306"
"AJM07","Manufacturing Milk Prices (including VAT)","201009","2010M09","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201009","2010M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.317"
"AJM07","Manufacturing Milk Prices (including VAT)","201010","2010M10","1","Milk (per litre), actual fat and protein","Euro","0.353"
"AJM07","Manufacturing Milk Prices (including VAT)","201010","2010M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201011","2010M11","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201011","2010M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","201012","2010M12","1","Milk (per litre), actual fat and protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201012","2010M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","201101","2011M01","1","Milk (per litre), actual fat and protein","Euro","0.35"
"AJM07","Manufacturing Milk Prices (including VAT)","201101","2011M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","201102","2011M02","1","Milk (per litre), actual fat and protein","Euro","0.354"
"AJM07","Manufacturing Milk Prices (including VAT)","201102","2011M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.341"
"AJM07","Manufacturing Milk Prices (including VAT)","201103","2011M03","1","Milk (per litre), actual fat and protein","Euro","0.335"
"AJM07","Manufacturing Milk Prices (including VAT)","201103","2011M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201104","2011M04","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201104","2011M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201105","2011M05","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201105","2011M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201106","2011M06","1","Milk (per litre), actual fat and protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","201106","2011M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.344"
"AJM07","Manufacturing Milk Prices (including VAT)","201107","2011M07","1","Milk (per litre), actual fat and protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201107","2011M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.344"
"AJM07","Manufacturing Milk Prices (including VAT)","201108","2011M08","1","Milk (per litre), actual fat and protein","Euro","0.356"
"AJM07","Manufacturing Milk Prices (including VAT)","201108","2011M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201109","2011M09","1","Milk (per litre), actual fat and protein","Euro","0.381"
